cve_estado,estado,anio,comision_busqueda_titular,anio_primer_titular,confianza_titular,fuente
04,CAMPECHE,2021,1,2021,baja,Catálogo titular: La Jornada/Economista 2020-08 (confianza=baja)
04,CAMPECHE,2022,1,2021,baja,Catálogo titular: La Jornada/Economista 2020-08 (confianza=baja)
04,CAMPECHE,2023,1,2021,baja,Catálogo titular: La Jornada/Economista 2020-08 (confianza=baja)
04,CAMPECHE,2024,1,2021,baja,Catálogo titular: La Jornada/Economista 2020-08 (confianza=baja)
05,COAHUILA,2010,0,2018,alta,Catálogo titular: ODIM/UNAM 2020 Tabla 3 (confianza=alta)
05,COAHUILA,2011,0,2018,alta,Catálogo titular: ODIM/UNAM 2020 Tabla 3 (confianza=alta)
05,COAHUILA,2012,0,2018,alta,Catálogo titular: ODIM/UNAM 2020 Tabla 3 (confianza=alta)
05,COAHUILA,2013,0,2018,alta,Catálogo titular: ODIM/UNAM 2020 Tabla 3 (confianza=alta)
05,COAHUILA,2014,0,2018,alta,Catálogo titular: ODIM/UNAM 2020 Tabla 3 (confianza=alta)
05,COAHUILA,2015,0,2018,alta,Catálogo titular: ODIM/UNAM 2020 Tabla 3 (confianza=alta)
05,COAHUILA,2016,0,2018,alta,Catálogo titular: ODIM/UNAM 2020 Tabla 3 (confianza=alta)
05,COAHUILA,2017,0,2018,alta,Catálogo titular: ODIM/UNAM 2020 Tabla 3 (confianza=alta)
05,COAHUILA,2018,1,2018,alta,Catálogo titular: ODIM/UNAM 2020 Tabla 3 (confianza=alta)
05,COAHUILA,2019,1,2018,alta,Catálogo titular: ODIM/UNAM 2020 Tabla 3 (confianza=alta)
05,COAHUILA,2020,1,2018,alta,Catálogo titular: ODIM/UNAM 2020 Tabla 3 (confianza=alta)
05,COAHUILA,2021,1,2018,alta,Catálogo titular: ODIM/UNAM 2020 Tabla 3 (confianza=alta)
05,COAHUILA,2022,1,2018,alta,Catálogo titular: ODIM/UNAM 2020 Tabla 3 (confianza=alta)
05,COAHUILA,2023,1,2018,alta,Catálogo titular: ODIM/UNAM 2020 Tabla 3 (confianza=alta)
05,COAHUILA,2024,1,2018,alta,Catálogo titular: ODIM/UNAM 2020 Tabla 3 (confianza=alta)
06,COLIMA,2010,0,2019,baja,Catálogo titular: ODIM/UNAM 2020 Tabla 1 (confianza=baja)
06,COLIMA,2011,0,2019,baja,Catálogo titular: ODIM/UNAM 2020 Tabla 1 (confianza=baja)
06,COLIMA,2012,0,2019,baja,Catálogo titular: ODIM/UNAM 2020 Tabla 1 (confianza=baja)
06,COLIMA,2013,0,2019,baja,Catálogo titular: ODIM/UNAM 2020 Tabla 1 (confianza=baja)
06,COLIMA,2014,0,2019,baja,Catálogo titular: ODIM/UNAM 2020 Tabla 1 (confianza=baja)
06,COLIMA,2015,0,2019,baja,Catálogo titular: ODIM/UNAM 2020 Tabla 1 (confianza=baja)
06,COLIMA,2016,0,2019,baja,Catálogo titular: ODIM/UNAM 2020 Tabla 1 (confianza=baja)
06,COLIMA,2017,0,2019,baja,Catálogo titular: ODIM/UNAM 2020 Tabla 1 (confianza=baja)
06,COLIMA,2018,0,2019,baja,Catálogo titular: ODIM/UNAM 2020 Tabla 1 (confianza=baja)
06,COLIMA,2019,1,2019,baja,Catálogo titular: ODIM/UNAM 2020 Tabla 1 (confianza=baja)
06,COLIMA,2020,1,2019,baja,Catálogo titular: ODIM/UNAM 2020 Tabla 1 (confianza=baja)
06,COLIMA,2021,1,2019,baja,Catálogo titular: ODIM/UNAM 2020 Tabla 1 (confianza=baja)
06,COLIMA,2022,1,2019,baja,Catálogo titular: ODIM/UNAM 2020 Tabla 1 (confianza=baja)
06,COLIMA,2023,1,2019,baja,Catálogo titular: ODIM/UNAM 2020 Tabla 1 (confianza=baja)
06,COLIMA,2024,1,2019,baja,Catálogo titular: ODIM/UNAM 2020 Tabla 1 (confianza=baja)
07,CHIAPAS,2010,0,2020,baja,Catálogo titular: ODIM/UNAM 2020 Tabla 1 (confianza=baja)
07,CHIAPAS,2011,0,2020,baja,Catálogo titular: ODIM/UNAM 2020 Tabla 1 (confianza=baja)
07,CHIAPAS,2012,0,2020,baja,Catálogo titular: ODIM/UNAM 2020 Tabla 1 (confianza=baja)
07,CHIAPAS,2013,0,2020,baja,Catálogo titular: ODIM/UNAM 2020 Tabla 1 (confianza=baja)
07,CHIAPAS,2014,0,2020,baja,Catálogo titular: ODIM/UNAM 2020 Tabla 1 (confianza=baja)
07,CHIAPAS,2015,0,2020,baja,Catálogo titular: ODIM/UNAM 2020 Tabla 1 (confianza=baja)
07,CHIAPAS,2016,0,2020,baja,Catálogo titular: ODIM/UNAM 2020 Tabla 1 (confianza=baja)
07,CHIAPAS,2017,0,2020,baja,Catálogo titular: ODIM/UNAM 2020 Tabla 1 (confianza=baja)
07,CHIAPAS,2018,0,2020,baja,Catálogo titular: ODIM/UNAM 2020 Tabla 1 (confianza=baja)
07,CHIAPAS,2019,0,2020,baja,Catálogo titular: ODIM/UNAM 2020 Tabla 1 (confianza=baja)
07,CHIAPAS,2020,1,2020,baja,Catálogo titular: ODIM/UNAM 2020 Tabla 1 (confianza=baja)
07,CHIAPAS,2021,1,2020,baja,Catálogo titular: ODIM/UNAM 2020 Tabla 1 (confianza=baja)
