cve_estado,estado,anio,tasa_hom_doloso,tasa_secuestro,tasa_feminicidio,tasa_extorsion,fuente
03,BAJA CALIFORNIA SUR,2024,7.9952,0.2317,1.0429,10.892,SESNSP víctimas fuero común (datos.gob.mx vía incidencia-delictiva)
04,CAMPECHE,2010,0.0,0.0,0.0,0.0,SESNSP víctimas fuero común (datos.gob.mx vía incidencia-delictiva)
04,CAMPECHE,2011,0.0,0.0,0.0,0.0,SESNSP víctimas fuero común (datos.gob.mx vía incidencia-delictiva)
04,CAMPECHE,2012,0.0,0.0,0.0,0.0,SESNSP víctimas fuero común (datos.gob.mx vía incidencia-delictiva)
04,CAMPECHE,2013,0.0,0.0,0.0,0.0,SESNSP víctimas fuero común (datos.gob.mx vía incidencia-delictiva)
04,CAMPECHE,2014,0.0,0.0,0.0,0.0,SESNSP víctimas fuero común (datos.gob.mx vía incidencia-delictiva)
04,CAMPECHE,2015,6.2828,0.6854,0.4569,3.8839,SESNSP víctimas fuero común (datos.gob.mx vía incidencia-delictiva)
04,CAMPECHE,2016,9.9323,0.7901,0.3386,2.0316,SESNSP víctimas fuero común (datos.gob.mx vía incidencia-delictiva)
04,CAMPECHE,2017,7.8074,0.7807,0.1115,2.5653,SESNSP víctimas fuero común (datos.gob.mx vía incidencia-delictiva)
04,CAMPECHE,2018,7.9367,1.3228,0.5512,2.2046,SESNSP víctimas fuero común (datos.gob.mx vía incidencia-delictiva)
04,CAMPECHE,2019,8.2809,0.5448,0.6538,2.724,SESNSP víctimas fuero común (datos.gob.mx vía incidencia-delictiva)
04,CAMPECHE,2020,8.8328,0.2154,0.3231,1.4003,SESNSP víctimas fuero común (datos.gob.mx vía incidencia-delictiva)
04,CAMPECHE,2021,10.2241,0.1065,0.9585,3.834,SESNSP víctimas fuero común (datos.gob.mx vía incidencia-delictiva)
04,CAMPECHE,2022,9.8995,0.3159,1.1584,9.4782,SESNSP víctimas fuero común (datos.gob.mx vía incidencia-delictiva)
04,CAMPECHE,2023,10.8318,0.2083,1.2498,10.1027,SESNSP víctimas fuero común (datos.gob.mx vía incidencia-delictiva)
04,CAMPECHE,2024,10.0955,0.0,0.7211,5.9749,SESNSP víctimas fuero común (datos.gob.mx vía incidencia-delictiva)
05,COAHUILA,2010,0.0,0.0,0.0,0.0,SESNSP víctimas fuero común (datos.gob.mx vía incidencia-delictiva)
05,COAHUILA,2011,0.0,0.0,0.0,0.0,SESNSP víctimas fuero común (datos.gob.mx vía incidencia-delictiva)
05,COAHUILA,2012,0.0,0.0,0.0,0.0,SESNSP víctimas fuero común (datos.gob.mx vía incidencia-delictiva)
05,COAHUILA,2013,0.0,0.0,0.0,0.0,SESNSP víctimas fuero común (datos.gob.mx vía incidencia-delictiva)
05,COAHUILA,2014,0.0,0.0,0.0,0.0,SESNSP víctimas fuero común (datos.gob.mx vía incidencia-delictiva)
05,COAHUILA,2015,10.9921,1.0517,0.5428,1.2213,SESNSP víctimas fuero común (datos.gob.mx vía incidencia-delictiva)
05,COAHUILA,2016,7.7994,1.1046,0.4352,0.8034,SESNSP víctimas fuero común (datos.gob.mx vía incidencia-delictiva)
05,COAHUILA,2017,7.994,0.5946,0.2973,0.7267,SESNSP víctimas fuero común (datos.gob.mx vía incidencia-delictiva)
05,COAHUILA,2018,7.9554,0.6195,0.4239,1.0433,SESNSP víctimas fuero común (datos.gob.mx vía incidencia-delictiva)
05,COAHUILA,2019,9.2374,0.5793,0.8368,1.2553,SESNSP víctimas fuero común (datos.gob.mx vía incidencia-delictiva)
05,COAHUILA,2020,7.1502,0.2542,0.9216,1.1758,SESNSP víctimas fuero común (datos.gob.mx vía incidencia-delictiva)
05,COAHUILA,2021,4.5503,0.1255,0.6904,1.1297,SESNSP víctimas fuero común (datos.gob.mx vía incidencia-delictiva)
05,COAHUILA,2022,4.1842,0.155,0.7129,1.0848,SESNSP víctimas fuero común (datos.gob.mx vía incidencia-delictiva)
05,COAHUILA,2023,3.7657,0.1531,0.3674,0.9185,SESNSP víctimas fuero común (datos.gob.mx vía incidencia-delictiva)
05,COAHUILA,2024,3.3574,0.0,0.6049,1.5426,SESNSP víctimas fuero común (datos.gob.mx vía incidencia-delictiva)
